mobile_name,mobile_price,mobile_color,_sim,disp_size,resolution,os,num_cores,_speed,int_memory,ram,p_cam,f_cam,network,bluetooth,battery_power,mob_width,mob_height,mob_depth,mob_weight
RedmiNote7S(SapphireBlue32),9999.00,SapphireBlue,Sim,16,2527200,AndroidPie9.0,OctaCore,2.2,32,3,485,13,3,Yes,4000,75.21,159.21,8.1,186
RedmiY2(Roseold64),8499.00,Roseold,Sim,15.21,1036800,AndroidOreo8.0,OctaCore,2,64,4,125,16,342,Yes,3080,77.26,160.73,8.1,168
Redmi7A(MatteBlack32),6699.00,MatteBlack,Sim,13.84,1036800,AndroidPie9.0,OctaCore,2,32,2,12,5,42,Yes,4000,70.4,146.3,9.55,165
RedmiNote7S(OnyxBlack64),11999.00,OnyxBlack,Sim,16,2527200,AndroidPie9.0,OctaCore,2.2,64,4,485,13,3,Yes,4000,75.21,159.21,8.1,186
RedmiY2(Blue32),7999.00,Blue,Sim,15.21,1036800,AndroidOreo8.0,OctaCore,2,32,3,125,16,342,Yes,3080,77.26,160.73,8.1,168
RedmiY2(Black64),8499.00,Black,Sim,15.21,1036800,AndroidOreo8.0,OctaCore,2,64,4,125,16,342,Yes,3080,77.26,160.73,8.1,168
RedmiNote7(OnyxBlack32),9999.00,OnyxBlack,Sim,16,2527200,AndroidPie9.0,OctaCore,2.2,32,3,122,13,3,Yes,4000,75.21,159.21,8.1,186
Redmi7A(MatteBlack16),6499.00,MatteBlack,Sim,13.84,1036800,AndroidPie9.0,OctaCore,2,16,2,12,5,42,Yes,4000,70.4,146.3,9.55,165
Redmi6(Roseold32),7999.00,Roseold,Sim,13.84,1036800,AndroidOreo8.1,OctaCore,2,32,3,125,5,3,Yes,3000,71.5,147.5,8.3,146
RedmiNote7(RubyRed32),9999.00,RubyRed,Sim,16,2527200,AndroidPie9.0,OctaCore,2.2,32,3,122,13,3,Yes,4000,75.21,159.21,8.1,186
RedmiNote7S(RubyRed64),11999.00,RubyRed,Sim,16,2527200,AndroidPie9.0,OctaCore,2.2,64,4,485,13,3,Yes,4000,75.21,159.21,8.1,186
Redmi7A(Matteold16),6499.00,Matteold,Sim,13.84,1036800,AndroidPie9.0,OctaCore,2,16,2,12,5,42,Yes,4000,70.4,146.3,9.55,165
RedmiNote5Pro(Blue64),13999.00,Blue,Sim,15.21,2332800,AndroidNouat7.1.2,OctaCore,1.8,64,6,125,20,34,Yes,4000,75.35,158.58,8.05,181
RedmiNote5Pro(Blue64),12999.00,Blue,Sim,15.21,2332800,AndroidNouat7.1.2,OctaCore,1.8,64,4,125,20,34,Yes,4000,75.35,158.58,8.05,181
RedmiY3(EleantBlue32),8369.00,EleantBlue,Sim,15.9,1094400,AndroidPie9.0,OctaCore,1.8,32,3,122,32,342,Yes,4000,75.58,158.73,8.47,180
RedmiY3(PrimeBlack32),8090.00,PrimeBlack,Sim,15.9,1094400,AndroidPie9.0,OctaCore,1.8,32,3,122,32,342,Yes,4000,75.58,158.73,8.47,180
RedmiNote7(SapphireBlue32),9999.00,SapphireBlue,Sim,16,2527200,AndroidPie9.0,OctaCore,2.2,32,3,122,13,3,Yes,4000,75.21,159.21,8.1,186
RedmiK20(FlameRed64),21999.00,FlameRed,Sim,16.23,2527200,AndroidPie9.0,OctaCore,2.2,64,6,48138,20,3,Yes,4000,74.3,156.7,8.8,191
